dataset, model_type, algorithm, D1_size, D2_size, D1_zeros, D2_zeros, D1_pred_zeros, D2_pred_zeros, M1_acc, M1_test_acc, M2_acc, M2_test_acc, M1_acc_on_D2, M1_acc_on_D2_test, M2_acc_on_D1, M2_acc_on_D1_test, D1_rec, D1_norec, cf1_inv_by_M2, D2_rec, D2_norec, cf2_inv_by_M1, M1_crossacc, M2_crossacc, comment
geospatial, MLPClassifier, Counterfactuals, 129, 122, 46, 27, 47.0, 21.0, 0.9147286821705426, 0.76, 0.9344262295081968, 0.9, 0.860655737704918, 0.86, 0.751937984496124, 0.7, 33, 14, 30.303030303030297, 9, 12, 0.0, 0.8189560439560439, 0.9273310023310023, COMARCH: [20, 10, 10, 10, 5]
correction, LogisticRegression, ActionableRecourse, 900, 900, 275, 271, 154.0, 192.0, 0.7277777777777777, 0.81, 0.7611111111111111, 0.8, 0.5066666666666667, 0.48, 0.6955555555555556, 0.76, 154, 0, 7.792207792207795, 68, 124, 22.058823529411764, 0.7110754414125201, 0.7534019289075469, COM
correction, LogisticRegression, Counterfactuals, 900, 900, 275, 271, 154.0, 192.0, 0.7277777777777777, 0.81, 0.7611111111111111, 0.8, 0.5066666666666667, 0.48, 0.6955555555555556, 0.76, 154, 0, 3.8961038961038974, 192, 0, 35.416666666666664, 0.7110754414125201, 0.7534019289075469, COM
correction, LogisticRegression, Causal12, 900, 900, 275, 271, 61.0, 63.0, 0.7044444444444444, 0.78, 0.7066666666666667, 0.72, 0.7122222222222222, 0.7, 0.7022222222222222, 0.79, 61, 0, 0.0, 63, 0, 0.0, 0.6944437584887023, 0.7088817549491706, COM
correction, RandomForestClassifier, ActionableRecourse, 900, 900, 275, 271, 276.0, 272.0, 0.9966666666666667, 0.72, 0.9944444444444445, 0.73, 0.54, 0.53, 0.5288888888888889, 0.61, 20, 256, 35.0, 22, 250, 13.636363636363635, 0.734374614149895, 0.7311419791195073, COM
correction, RandomForestClassifier, Counterfactuals, 900, 900, 275, 271, 276.0, 272.0, 0.9966666666666667, 0.72, 0.9944444444444445, 0.73, 0.54, 0.53, 0.5288888888888889, 0.61, 258, 18, 36.82170542635659, 268, 4, 59.32835820895522, 0.734374614149895, 0.7311419791195073, COM
correction, RandomForestClassifier, Causal12, 900, 900, 275, 271, 277.0, 272.0, 0.9888888888888889, 0.74, 0.9788888888888889, 0.61, 0.9155555555555556, 0.93, 0.9011111111111111, 0.95, 256, 21, 96.09375, 24, 248, 75.0, 0.647697246573651, 0.642374367205828, COM
correction, XGBClassifier, ActionableRecourse, 900, 900, 275, 271, 275.0, 271.0, 1.0, 0.79, 1.0, 0.81, 0.6422222222222222, 0.59, 0.6233333333333333, 0.67, 25, 250, 7.9999999999999964, 22, 249, 27.27272727272727, 0.7365477219409804, 0.7478216789452745, COM
correction, XGBClassifier, Counterfactuals, 900, 900, 275, 271, 275.0, 271.0, 1.0, 0.79, 1.0, 0.81, 0.6422222222222222, 0.59, 0.6233333333333333, 0.67, 253, 22, 23.715415019762844, 264, 7, 59.09090909090908, 0.7365477219409804, 0.7478216789452745, COM
correction, XGBClassifier, Causal12, 900, 900, 275, 271, 258.0, 260.0, 0.9788888888888889, 0.66, 0.9833333333333333, 0.63, 0.9255555555555556, 0.9, 0.9344444444444444, 0.95, 8, 250, 12.5, 150, 110, 97.33333333333334, 0.6358562785529078, 0.6767200340234049, COM
correction, LinearSVC, ActionableRecourse, 900, 900, 275, 271, 1.0, 420.0, 0.6955555555555556, 0.75, 0.63, 0.63, 0.7, 0.7, 0.5577777777777778, 0.56, 1, 0, 100.0, 420, 0, 0.23809523809523725, 0.632547228052846, 0.6866714683568617, COM
correction, LinearSVC, Counterfactuals, 900, 900, 275, 271, 1.0, 420.0, 0.6955555555555556, 0.75, 0.63, 0.63, 0.7, 0.7, 0.5577777777777778, 0.56, 1, 0, 0.0, 420, 0, 0.0, 0.632547228052846, 0.6866714683568617, COM
correction, MLPClassifier, ActionableRecourse, 900, 900, 275, 271, 0.0, 36.0, 0.6944444444444444, 0.76, 0.7188888888888889, 0.71, 0.6988888888888889, 0.71, 0.7033333333333334, 0.75, 0, 0, nan, 0, 36, nan, 0.6764909248055316, 0.6921285206678464, COMARCH: [10, 10, 5]
correction, MLPClassifier, Counterfactuals, 900, 900, 275, 271, 0.0, 36.0, 0.6944444444444444, 0.76, 0.7188888888888889, 0.71, 0.6988888888888889, 0.71, 0.7033333333333334, 0.75, 0, 0, nan, 0, 36, nan, 0.6764909248055316, 0.6921285206678464, COMARCH: [10, 10, 5]
correction, MLPClassifier, Causal12, 900, 900, 275, 271, 0.0, 0.0, 0.6944444444444444, 0.75, 0.6988888888888889, 0.71, 0.6988888888888889, 0.71, 0.6944444444444444, 0.75, 0, 0, nan, 0, 0, nan, 0.6944684528954193, 0.6988936905790839, COMARCH: [10, 10, 5]
correction, MLPClassifier, ActionableRecourse, 900, 900, 275, 271, 77.0, 0.0, 0.7022222222222222, 0.8, 0.6988888888888889, 0.71, 0.7133333333333334, 0.7, 0.6944444444444444, 0.75, 1, 76, 0.0, 0, 0, nan, 0.6573651068033091, 0.671103702789096, COMARCH: [20, 10, 10, 10, 5]
correction, MLPClassifier, Counterfactuals, 900, 900, 275, 271, 77.0, 0.0, 0.7022222222222222, 0.8, 0.6988888888888889, 0.71, 0.7133333333333334, 0.7, 0.6944444444444444, 0.75, 57, 20, 0.0, 0, 0, nan, 0.6573651068033091, 0.671103702789096, COMARCH: [20, 10, 10, 10, 5]
correction, MLPClassifier, Causal12, 900, 900, 275, 271, 0.0, 0.0, 0.6944444444444444, 0.75, 0.6988888888888889, 0.71, 0.6988888888888889, 0.71, 0.6944444444444444, 0.75, 0, 0, nan, 0, 0, nan, 0.6944684528954193, 0.6988936905790839, COMARCH: [20, 10, 10, 10, 5]
